Parti,Total Interactions,Likes,All Reactions,Comments,Shares,Owned Post Views,Owned Views from Shares,Owned Total Views,Views on Shared Posts,Views While Live,Video Time,3-Min+ Videos,Loves,Wows,Hahas,Sads,Angrys,Cares,Total Posts,Photo Posts,Link Posts,Status Posts,Owned Video Posts,Shared Video Posts,Other Video Posts,Page Likes,Page Growth,Page Followers,Page Follower Growth,Antal sider,Month,Totale interaktioner per opslag,Kommentarer per opslag,Delinger per opslag,Videovisninger per videoopslag,Interaktion per post per følger,Interaktion per følger,Angry per opslag,Love per opslag,Reaktioner per post,Andel foto post af total,Andel link post af total,Andel tekst post af total,Andel owned video post af total,Andel delte video post af total,Andel andre video post af total,Blok
Enhedslisten,229396,135723,172086,46546,10764,125300,73248,198548,27767,2033,55,4,17569,622,3782,3845,5584,4961,1234,664,385,53,56,70,6,443994,2369,452576,2786,163,20201215,186,38,09,2238,0,01,"4,5","14,2",139,"53,81%","31,20%","4,29%","4,54%","5,67%","0,49%",Rød blok
Frie Grønne,3754,1981,2412,960,382,10041,28442,38483,1295,533,19,3,173,16,120,11,73,38,66,25,20,1,13,7,0,3560,515,3912,549,4,20201215,57,15,06,772,0,01,"1,1","2,6",37,"37,88%","30,30%","1,52%","19,70%","10,61%","0,00%",Rød blok
Konservative,326200,223409,256606,54403,15191,1254371,247135,1501506,12139,764,169,14,11335,1728,5476,2159,7897,4602,1457,873,316,37,129,93,9,448753,6854,489581,7466,478,20201215,224,37,10,9724,0,01,"5,4","7,8",176,"59,92%","21,69%","2,54%","8,85%","6,38%","0,62%",Blå blok
Kristendemokraterne,5252,3584,3906,470,876,18288,21692,39980,7030,1405,48,2,214,18,1,28,6,55,178,16,46,10,27,76,3,23425,158,24504,179,26,20201215,30,03,05,677,0,0,"0,0","1,2",22,"8,99%","25,84%","5,62%","15,17%","42,70%","1,69%",Blå blok
Liberal Alliance,102749,75055,82792,15707,4250,369859,38407,408266,15845,3323,43,6,2440,1140,2313,444,1221,179,432,241,123,27,12,28,1,323608,2080,351384,2957,185,20201215,238,36,10,30822,0,0,"2,8","5,7",192,"55,79%","28,47%","6,25%","2,78%","6,48%","0,23%",Blå blok
Løsgænger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22860,-7,22865,-9,2,20201215,0,0,0,0,0,0,"0,0","0,0",0,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",Andet
Moderaterne,282,204,212,69,1,0,0,0,0,0,0,0,4,2,0,0,0,2,3,1,1,1,0,0,0,7113,-13,7190,-13,5,20201215,94,23,0,0,0,0,"0,0","1,3",71,"33,33%","33,33%","33,33%","0,00%","0,00%","0,00%",Blå blok
Nye Borgerlige,996738,714562,811143,124333,61262,3332708,907124,4239832,5286,8328,201,26,52720,3123,16407,1969,15517,6845,1019,563,142,25,74,104,111,420085,12816,498940,14787,113,20201215,978,122,60,45037,0,02,"15,2","51,7",796,"55,25%","13,94%","2,45%","7,26%","10,21%","10,89%",Blå blok
Radikale Venstre,135367,78350,100125,30059,5183,614203,147347,761550,14468,1630,135,4,8442,612,3455,2285,5484,1497,1214,569,222,49,321,43,10,657336,2634,678755,3486,236,20201215,112,25,04,1913,0,0,"4,5","7,0",82,"46,87%","18,29%","4,04%","26,44%","3,54%","0,82%",Rød blok
Socialdemokratiet,1349023,851489,1062881,246770,39372,2158346,575413,2733759,54307,287261,245,16,101800,1892,10616,4410,12035,80639,2422,1470,514,111,167,144,16,1395881,21596,1472201,29613,563,20201215,557,102,16,12924,0,01,"5,0","42,0",439,"60,69%","21,22%","4,58%","6,90%","5,95%","0,66%",Rød blok
Socialistisk Folkeparti,397807,236253,291898,65443,40466,155659,46965,202624,16370,3175,81,5,32599,904,3600,3386,3520,11636,1176,768,221,114,46,20,7,577751,6907,592359,8443,326,20201215,338,56,34,3384,0,01,"3,0","27,7",248,"65,31%","18,79%","9,69%","3,91%","1,70%","0,60%",Rød blok
Veganerpartiet,16350,6460,10425,4584,1341,19665,10128,29793,6528,685,8,1,1032,38,182,1613,924,176,48,10,29,1,2,4,2,16690,593,18678,718,8,20201215,341,96,28,9833,0,01,"19,3","21,5",217,"20,83%","60,42%","2,08%","4,17%","8,33%","4,17%",Rød blok
Venstre,483565,282965,350535,106443,26587,832914,179092,1012006,15354,143,204,23,17603,1740,7370,11611,17718,11528,2138,1096,702,91,121,116,12,1191743,12887,1217177,18504,614,20201215,226,50,12,6884,0,0,"8,3","8,2",164,"51,26%","32,83%","4,26%","5,66%","5,43%","0,56%",Blå blok
Alternativet,18056,10783,13028,3069,1959,41402,51492,92894,6044,2151,43,5,1257,77,228,159,400,124,677,159,387,22,24,79,6,213567,66,215558,128,116,20210115,27,05,03,1725,0,0,"0,6","1,9",19,"23,49%","57,16%","3,25%","3,55%","11,67%","0,89%",Rød blok
Andet,57752,40655,48399,5277,4076,65675,48087,113762,529,7169,74,3,4277,239,883,609,893,843,457,206,192,26,18,10,5,131726,911,140908,992,115,20210115,126,12,09,3649,0,0,"2,0","9,4",106,"45,08%","42,01%","5,69%","3,94%","2,19%","1,09%",Andet
Danmarksdemokraterne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20210115,0,0,0,0,0,0,"0,0","0,0",0,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",Blå blok
Dansk Folkeparti,742762,464309,562934,118871,60957,1233420,367784,1601204,54052,21942,76,6,18975,3190,19731,4078,49374,3277,1310,519,574,69,59,84,5,678712,3208,681363,3652,154,20210115,567,91,47,20905,0,01,"37,7","14,5",430,"39,62%","43,82%","5,27%","4,50%","6,41%","0,38%",Blå blok
Enhedslisten,188168,108445,133303,42097,12768,109087,75521,184608,59415,16,31,6,8760,1187,3006,2690,6872,2343,1060,496,431,75,13,36,9,447383,3240,456740,3912,163,20210115,178,40,12,8391,0,0,"6,5","8,3",126,"46,79%","40,66%","7,08%","1,23%","3,40%","0,85%",Rød blok
Frie Grønne,13182,5375,7748,4759,675,87947,81355,169302,2155,0,20,4,354,36,1070,76,774,63,66,16,29,0,11,10,0,6639,184,7307,205,4,20210115,200,72,10,7995,0,02,"11,7","5,4",117,"24,24%","43,94%","0,00%","16,67%","15,15%","0,00%",Rød blok
Konservative,240484,154966,180345,44411,15728,179501,92873,272374,2946,756,58,5,7103,1366,6168,2987,5942,1813,1238,758,363,33,45,36,3,457464,7478,500360,8245,478,20210115,194,36,13,3989,0,0,"4,8","5,7",146,"61,23%","29,32%","2,67%","3,63%","2,91%","0,24%",Blå blok
Kristendemokraterne,6818,4083,4571,1473,774,8713,20517,29230,3729,1246,9,1,279,20,31,39,72,47,127,29,69,7,5,17,0,23664,239,24775,272,26,20210115,54,12,06,1743,0,0,"0,6","2,2",36,"22,83%","54,33%","5,51%","3,94%","13,39%","0,00%",Blå blok
Liberal Alliance,72845,43287,53244,16658,2943,197978,22064,220042,10300,218,13,1,2410,236,1495,312,3162,2342,401,200,129,27,16,27,2,295240,1851,319046,2101,184,20210115,182,42,07,12374,0,0,"7,9","6,0",133,"49,88%","32,17%","6,73%","3,99%","6,73%","0,50%",Blå blok
Løsgænger,18331,11376,12427,4876,1028,0,0,0,0,0,0,0,261,212,118,330,54,76,10,5,3,2,0,0,0,62015,429,63078,713,3,20210115,1833,488,103,0,0,0,"5,4","26,1",1243,"50,00%","30,00%","20,00%","0,00%","0,00%","0,00%",Andet
Moderaterne,106975,67482,80440,17091,9444,374270,32767,407037,32769,24306,0,0,4986,847,412,2664,225,3824,23,5,7,7,3,1,0,218960,3160,218155,8310,6,20210115,4651,743,411,124757,0,0,"9,8","216,8",3497,"21,74%","30,43%","30,43%","13,04%","4,35%","0,00%",Blå blok
Nye Borgerlige,859771,606069,687635,104092,68044,2587691,1077854,3665545,27666,0,130,16,42530,3134,20534,1920,7795,5653,782,472,147,14,49,84,16,436714,16207,519811,20367,113,20210115,1099,133,87,52810,0,02,"10,0","54,4",879,"60,36%","18,80%","1,79%","6,27%","10,74%","2,05%",Blå blok
Radikale Venstre,121549,60988,81926,33032,6591,299479,30507,329986,17459,4636,236,9,6085,523,3346,2703,7294,987,1066,504,294,125,44,87,12,513076,4012,525838,5474,233,20210115,114,31,06,6806,0,0,"6,8","5,7",77,"47,28%","27,58%","11,73%","4,13%","8,16%","1,13%",Rød blok
Socialdemokratiet,1155972,748689,901825,189375,64772,1138509,441992,1580501,55758,21063,92,6,76976,1819,9997,5244,13874,45226,2165,1301,562,117,86,85,14,1464226,20514,1546439,26134,564,20210115,534,87,30,13238,0,01,"6,4","35,6",417,"60,09%","25,96%","5,40%","3,97%","3,93%","0,65%",Rød blok
Socialistisk Folkeparti,306737,185868,232142,47236,27359,295979,72106,368085,5501,16,41,3,19035,859,8079,5486,7500,5315,956,536,255,107,33,22,3,586261,7184,595901,2333,326,20210115,321,49,29,8969,0,01,"7,9","19,9",243,"56,07%","26,67%","11,19%","3,45%","2,30%","0,31%",Rød blok
Veganerpartiet,20636,9538,13274,5236,2126,39969,19472,59441,5682,5440,34,3,1425,58,249,957,952,95,65,29,14,2,11,7,2,17240,402,19409,414,8,20210115,317,81,33,3634,0,01,"14,7","21,9",204,"44,62%","21,54%","3,08%","16,92%","10,77%","3,08%",Rød blok
Venstre,484409,284925,342599,85750,56060,360404,326460,686864,10970,12346,127,13,14821,1325,10057,3607,21171,6693,2502,1299,796,138,98,139,32,1000002,15319,1037374,20339,613,20210115,194,34,22,3678,0,0,"8,5","5,9",137,"51,92%","31,81%","5,52%","3,92%","5,56%","1,28%",Blå blok
Alternativet,20667,11815,14655,3394,2618,27861,58343,86204,18243,7850,26,4,1849,55,135,167,265,369,792,225,432,28,15,69,23,213837,274,215872,317,116,20210215,26,04,03,1857,0,0,"0,3","2,3",19,"28,41%","54,55%","3,54%","1,89%","8,71%","2,90%",Rød blok
Andet,35813,23104,28464,4471,2878,143906,75119,219025,4636,11726,114,5,2286,222,758,439,1103,552,435,198,161,21,32,19,4,133113,669,142484,675,115,20210215,82,10,07,4497,0,0,"2,5","5,3",65,"45,52%","37,01%","4,83%","7,36%","4,37%","0,92%",Andet
Danmarksdemokraterne,195923,129840,160660,28052,7211,0,0,0,0,0,0,0,15509,270,2315,683,1849,10194,6,3,3,0,0,0,0,170503,5194,186404,6891,2,20210215,32654,4675,1202,0,0,01,"308,2","2584,8",26777,"50,00%","50,00%","0,00%","0,00%","0,00%","0,00%",Blå blok
Dansk Folkeparti,651824,379906,471654,107069,73101,832601,453017,1285618,53584,18788,50,2,12672,2773,15255,9143,44105,7800,1307,572,538,66,40,82,9,682515,3775,686343,4908,154,20210215,499,82,56,20815,0,01,"33,8","9,7",361,"43,76%","41,16%","5,05%","3,06%","6,27%","0,69%",Blå blok
Enhedslisten,247745,132146,172886,62874,11985,61917,41673,103590,69052,5780,40,6,14682,840,6507,3132,12744,2835,1110,506,471,55,33,30,15,456658,9046,467188,10123,163,20210215,223,57,11,1876,0,01,"11,5","13,2",156,"45,59%","42,43%","4,95%","2,97%","2,70%","1,35%",Rød blok
Frie Grønne,14824,8187,9618,4157,1049,27773,45856,73629,4323,0,4,0,488,51,537,86,220,49,77,14,44,1,12,5,1,8653,1955,9551,2179,4,20210215,193,54,14,2314,0,02,"2,9","6,3",125,"18,18%","57,14%","1,30%","15,58%","6,49%","1,30%",Rød blok
Konservative,318185,220608,240677,54228,23280,181034,79251,260285,6259,687,57,3,5434,1446,3093,2297,6596,1203,1486,924,404,40,66,40,12,474568,13329,518476,13321,478,20210215,214,36,16,2743,0,01,"4,4","3,7",162,"62,18%","27,19%","2,69%","4,44%","2,69%","0,81%",Blå blok
Kristendemokraterne,4327,3016,3279,462,586,6343,7300,13643,2900,867,2,0,146,14,10,42,15,36,129,30,77,6,6,10,0,23801,132,24858,134,26,20210215,34,04,05,1057,0,0,"0,1","1,1",25,"23,26%","59,69%","4,65%","4,65%","7,75%","0,00%",Blå blok
Liberal Alliance,90142,66708,74044,10819,5279,53676,5269,58945,8899,191,11,1,1627,174,1325,1672,1427,1111,423,235,131,30,14,13,0,297987,1507,322386,2012,184,20210215,213,26,12,3834,0,0,"3,4","3,9",175,"55,56%","30,97%","7,09%","3,31%","3,07%","0,00%",Blå blok
Løsgænger,386,278,303,74,9,9107,241,9348,0,0,0,0,2,6,14,1,1,1,2,0,1,0,1,0,0,61989,-22,63059,-15,3,20210215,193,37,05,9107,0,0,"0,5","1,0",152,"0,00%","50,00%","0,00%","50,00%","0,00%","0,00%",Andet
Moderaterne,50487,38457,41695,5655,3137,564276,164801,729077,17563,25843,10,1,820,80,206,1125,226,781,16,2,3,6,3,1,1,220118,1152,221126,2887,6,20210215,3155,353,196,188092,0,0,"14,1","51,3",2606,"12,50%","18,75%","37,50%","18,75%","6,25%","6,25%",Blå blok
Nye Borgerlige,878065,614080,692173,107943,77949,2248470,1244976,3493446,8947,383,115,14,41305,2563,15312,3880,11021,4012,941,607,148,29,50,87,20,453458,16326,541334,20653,113,20210215,933,115,83,44969,0,02,"11,7","43,9",736,"64,51%","15,73%","3,08%","5,31%","9,25%","2,13%",Blå blok
Radikale Venstre,80996,49197,60759,17385,2852,147999,69643,217642,12707,1083,32,2,5391,481,1894,1029,1791,976,1013,436,382,91,36,63,5,515772,1905,529588,2822,233,20210215,80,17,03,4111,0,0,"1,8","5,3",60,"43,04%","37,71%","8,98%","3,55%","6,22%","0,49%",Rød blok
Socialdemokratiet,800262,479922,579231,194254,26777,536201,117095,653296,47381,21277,90,6,42609,1595,9742,2714,20550,22099,1985,1153,508,117,97,94,16,1487393,19455,1576457,25025,564,20210215,403,98,13,5528,0,01,"10,4","21,5",292,"58,09%","25,59%","5,89%","4,89%","4,74%","0,81%",Rød blok
Socialistisk Folkeparti,269605,164480,203213,51207,15185,624131,260617,884748,3291,952,69,4,17853,741,6718,2517,5251,5653,1047,584,307,83,42,30,1,593883,6511,601645,4186,326,20210215,258,49,15,14860,0,0,"5,0","17,1",194,"55,78%","29,32%","7,93%","4,01%","2,87%","0,10%",Rød blok
Veganerpartiet,11830,3468,6817,4371,642,175062,13319,188381,5881,5019,5,1,637,36,797,1000,845,34,36,8,13,0,6,7,2,17758,207,19946,166,8,20210215,329,121,18,29177,0,01,"23,5","17,7",189,"22,22%","36,11%","0,00%","16,67%","19,44%","5,56%",Rød blok
Venstre,370129,204512,245031,81335,43763,339039,97285,436324,15089,7903,117,9,6676,1588,10516,2215,15827,3697,2600,1405,835,135,110,103,12,848987,12816,874432,14779,612,20210215,142,31,17,3082,0,0,"6,1","2,6",94,"54,04%","32,12%","5,19%","4,23%","3,96%","0,46%",Blå blok
Alternativet,21021,13381,15606,3309,2106,21243,29840,51083,6019,104,35,4,1320,88,163,252,173,229,724,195,427,17,18,53,14,214500,475,216661,594,116,20210315,29,05,03,1180,0,0,"0,2","1,8",22,"26,93%","58,98%","2,35%","2,49%","7,32%","1,93%",Rød blok
Andet,28267,16769,20171,5428,2668,191793,57000,248793,2030,28593,51,3,1893,83,309,307,468,342,501,189,213,23,47,26,3,135257,1131,144937,948,115,20210315,56,11,05,4081,0,0,"0,9","3,8",40,"37,72%","42,51%","4,59%","9,38%","5,19%","0,60%",Andet
Danmarksdemokraterne,107416,76901,83273,18786,5357,0,0,0,0,0,0,0,4091,100,344,80,1311,446,5,5,0,0,0,0,0,171617,1100,187866,1437,2,20210315,21483,3757,1071,0,0,01,"262,2","818,2",16655,"100,00%","0,00%","0,00%","0,00%","0,00%","0,00%",Blå blok
Dansk Folkeparti,619001,333854,448848,107811,62342,1456946,346864,1803810,35151,2409,100,10,11451,2226,13552,4367,80686,2712,1402,708,448,59,65,108,14,684991,2117,689577,2882,154,20210315,442,77,44,22415,0,01,"57,6","8,2",320,"50,50%","31,95%","4,21%","4,64%","7,70%","1,00%",Blå blok
Enhedslisten,263134,150562,188072,62208,12854,224602,110323,334925,45548,578,131,12,15154,662,4169,1924,12221,3380,1494,676,588,65,63,89,13,461443,3985,473091,5052,163,20210315,176,42,09,3565,0,01,"8,2","10,1",126,"45,25%","39,36%","4,35%","4,22%","5,96%","0,87%",Rød blok
Frie Grønne,23912,12350,15625,7155,1132,84189,73460,157649,4121,0,79,1,1088,51,1573,81,392,90,92,20,39,0,23,10,0,11212,2485,12438,2806,4,20210315,260,78,12,3660,0,02,"4,3","11,8",170,"21,74%","42,39%","0,00%","25,00%","10,87%","0,00%",Rød blok
Konservative,317727,209928,233713,61620,22394,334250,88850,423100,23459,3243,86,8,5521,2246,4728,1435,8694,1161,1536,883,429,54,80,63,27,494279,11401,539933,13002,479,20210315,207,40,15,4178,0,01,"5,7","3,6",152,"57,49%","27,93%","3,52%","5,21%","4,10%","1,76%",Blå blok
Kristendemokraterne,4560,3096,3409,482,669,3678,5081,8759,1891,1134,3,0,246,7,9,9,10,32,109,34,50,6,8,11,0,24605,389,25866,415,26,20210315,42,04,06,460,0,0,"0,1","2,3",31,"31,19%","45,87%","5,50%","7,34%","10,09%","0,00%",Blå blok
Liberal Alliance,88016,64544,70940,12770,4306,136211,9142,145353,600,62,13,1,3055,258,1444,223,1297,119,439,240,129,27,13,29,1,299245,1062,321338,1795,184,20210315,200,29,10,10478,0,0,"3,0","7,0",162,"54,67%","29,38%","6,15%","2,96%","6,61%","0,23%",Blå blok
Løsgænger,7983,5174,5788,1835,360,0,0,0,0,0,0,0,122,57,134,38,243,20,9,2,5,1,0,0,1,61940,-34,63013,-32,3,20210315,887,204,40,0,0,0,"27,0","13,6",643,"22,22%","55,56%","11,11%","0,00%","0,00%","11,11%",Andet
Moderaterne,39195,29222,31470,5592,2133,112548,5868,118416,0,24417,2,0,658,93,849,40,475,133,19,5,3,7,4,0,0,220501,369,221811,664,6,20210315,2063,294,112,28137,0,0,"25,0","34,6",1656,"26,32%","15,79%","36,84%","21,05%","0,00%","0,00%",Blå blok
Nye Borgerlige,796633,544403,617251,109112,70270,3183417,1593065,4776482,7200,13203,133,15,29221,4055,16474,2100,18258,2740,922,523,180,34,57,118,10,464903,10911,557041,14670,113,20210315,864,118,76,55849,0,01,"19,8","31,7",669,"56,72%","19,52%","3,69%","6,18%","12,80%","1,08%",Blå blok
Radikale Venstre,151632,75172,102229,35907,13496,70776,20671,91447,11975,165,85,7,7877,774,4465,1989,9137,2815,1241,587,416,112,55,55,16,523652,7347,539073,8749,233,20210315,122,29,11,1287,0,0,"7,4","6,4",82,"47,30%","33,52%","9,02%","4,43%","4,43%","1,29%",Rød blok
Socialdemokratiet,790917,499206,594406,166935,29576,466318,146214,612532,19422,23142,164,14,40694,1733,10255,3342,17596,21580,2566,1534,600,164,149,105,14,1501313,11887,1594372,15408,564,20210315,308,65,12,3130,0,01,"6,9","15,9",232,"59,78%","23,38%","6,39%","5,81%","4,09%","0,55%",Rød blok
Socialistisk Folkeparti,262591,159492,195353,53074,14164,250417,46129,296546,27176,3091,44,1,14232,940,4047,2680,8465,5497,1218,766,279,77,52,39,5,604329,7816,615996,10980,326,20210315,216,44,12,4816,0,0,"7,0","11,7",160,"62,89%","22,91%","6,32%","4,27%","3,20%","0,41%",Rød blok
Veganerpartiet,18367,6004,11337,5258,1772,76669,19106,95775,6241,4860,87,4,1468,83,406,1609,1291,476,74,21,20,5,13,9,6,18151,379,20400,437,8,20210315,248,71,24,5898,0,01,"17,5","19,8",153,"28,38%","27,03%","6,76%","17,57%","12,16%","8,11%",Rød blok
Venstre,331598,211712,244138,60156,27304,351778,92830,444608,23329,9123,152,12,6622,1319,5944,1986,13236,3319,2775,1575,761,128,153,150,8,852916,9144,882021,12160,611,20210315,119,22,10,2299,0,0,"4,8","2,4",88,"56,76%","27,42%","4,61%","5,51%","5,41%","0,29%",Blå blok
Alternativet,21769,12827,15405,3855,2509,48229,39653,87882,10344,1189,33,3,1431,89,320,345,209,184,704,199,383,23,24,69,6,214711,211,217104,442,116,20210415,31,05,04,2010,0,0,"0,3","2,0",22,"28,27%","54,40%","3,27%","3,41%","9,80%","0,85%",Rød blok
Andet,30552,20782,25201,2342,3009,77069,29626,106695,1692,2050,113,3,2600,82,242,404,496,595,373,136,178,18,21,17,3,137137,1166,147041,1283,115,20210415,82,06,08,3670,0,0,"1,3","7,0",68,"36,46%","47,72%","4,83%","5,63%","4,56%","0,80%",Andet
Danmarksdemokraterne,131868,80109,99648,25371,6849,74936,11200,86136,0,0,2,0,6968,1586,1474,426,7746,1339,7,5,1,0,1,0,0,172659,1039,188982,1110,2,20210415,18838,3624,978,74936,0,01,"1106,6","995,4",14235,"71,43%","14,29%","0,00%","14,29%","0,00%","0,00%",Blå blok
Dansk Folkeparti,520580,282985,356750,104027,59803,975515,357674,1333189,29870,10705,76,7,11268,2297,11194,2970,43195,2841,1228,590,415,51,65,102,5,686987,2072,693215,3683,154,20210415,424,85,49,15008,0,01,"35,2","9,2",291,"48,05%","33,79%","4,15%","5,29%","8,31%","0,41%",Blå blok
Enhedslisten,222859,122763,164351,48957,9551,93405,29760,123165,27817,1955,67,6,14454,594,5789,5146,8786,6819,1336,591,566,74,33,62,10,465272,3763,477733,4562,163,20210415,167,37,07,2830,0,0,"6,6","10,8",123,"44,24%","42,37%","5,54%","2,47%","4,64%","0,75%",Rød blok
Frie Grønne,42427,17108,25055,15877,1495,89717,30925,120642,8131,582,12,1,1648,66,4134,131,1796,172,85,28,36,0,12,9,0,13848,2629,15403,2955,4,20210415,499,187,18,7476,0,03,"21,1","19,4",295,"32,94%","42,35%","0,00%","14,12%","10,59%","0,00%",Rød blok
Konservative,309075,207755,238356,54588,16131,298486,153802,452288,4050,54,110,5,10923,1231,4273,1814,4879,7481,1446,967,295,32,98,40,14,505907,8951,552823,9878,479,20210415,214,38,11,3046,0,01,"3,4","7,6",165,"66,87%","20,40%","2,21%","6,78%","2,77%","0,97%",Blå blok
Kristendemokraterne,16221,10548,12194,2775,1252,50923,35069,85992,19180,785,6,1,831,83,243,180,77,232,154,51,59,6,11,25,2,64140,449,66380,361,27,20210415,105,18,08,4629,0,0,"0,5","5,4",79,"33,12%","38,31%","3,90%","7,14%","16,23%","1,30%",Blå blok
Liberal Alliance,96096,71438,78391,13363,4342,329289,33629,362918,6259,83,23,1,2142,1823,1225,982,700,81,386,223,88,27,17,30,1,301098,1852,327153,2376,184,20210415,249,35,11,19370,0,0,"1,8","5,6",203,"57,77%","22,80%","6,99%","4,40%","7,77%","0,26%",Blå blok
Løsgænger,52,40,41,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,22751,-108,22772,-94,2,20210415,52,11,0,0,0,0,"0,0","0,0",41,"0,00%","100,00%","0,00%","0,00%","0,00%","0,00%",Andet
Moderaterne,23206,16521,18616,4229,361,110777,6280,117057,39772,54415,0,0,853,198,300,48,505,191,16,8,1,2,4,1,0,220691,192,222330,511,6,20210415,1450,264,23,27694,0,0,"31,6","53,3",1164,"50,00%","6,25%","12,50%","25,00%","6,25%","0,00%",Blå blok
Nye Borgerlige,724602,511019,576037,80207,68358,1882310,762110,2644420,5359,3038,112,15,28638,2483,10591,3011,15259,5036,1036,643,192,28,44,115,14,473874,8785,568022,10747,113,20210415,699,77,66,42780,0,01,"14,7","27,6",556,"62,07%","18,53%","2,70%","4,25%","11,10%","1,35%",Blå blok
Radikale Venstre,141520,79909,103162,27978,10380,93770,30593,124363,1561,4,51,3,8049,366,3016,5130,4567,2125,1035,529,330,66,48,54,8,531623,7501,547292,7727,233,20210415,137,27,10,1954,0,0,"4,4","7,8",100,"51,11%","31,88%","6,38%","4,64%","5,22%","0,77%",Rød blok
Socialdemokratiet,686734,446545,526803,136768,23163,381791,93568,475359,19472,4016,120,7,36411,1400,14890,1983,9985,15589,2426,1522,534,139,134,87,10,1514337,9178,1608989,10012,564,20210415,283,56,10,2849,0,0,"4,1","15,0",217,"62,74%","22,01%","5,73%","5,52%","3,59%","0,41%",Rød blok
Socialistisk Folkeparti,257179,155365,188095,42233,26851,419078,469575,888653,2153,672,99,6,15487,984,4021,2887,5482,3869,1192,671,342,97,48,32,2,612731,6737,625233,7245,326,20210415,216,35,23,8731,0,0,"4,6","13,0",158,"56,29%","28,69%","8,14%","4,03%","2,68%","0,17%",Rød blok
Veganerpartiet,24371,5660,14038,6792,3541,27335,6442,33777,1116,5728,34,1,989,104,259,4367,2584,75,80,41,10,5,9,5,10,18633,480,20847,443,8,20210415,305,85,44,3037,0,01,"32,3","12,4",175,"51,25%","12,50%","6,25%","11,25%","6,25%","12,50%",Rød blok
Venstre,264960,170380,194000,46572,24388,308379,103831,412210,11868,4848,169,15,4346,1042,6084,864,10290,994,2536,1505,634,110,149,118,20,837846,10098,867095,10239,610,20210415,104,18,10,2070,0,0,"4,1","1,7",77,"59,35%","25,00%","4,34%","5,88%","4,65%","0,79%",Blå blok
Alternativet,29835,16080,20632,5246,3957,48615,28736,77351,8672,4000,38,6,2158,194,527,827,661,185,807,262,406,18,28,91,2,215562,837,218083,962,116,20210515,37,07,05,1736,0,0,"0,8","2,7",26,"32,47%","50,31%","2,23%","3,47%","11,28%","0,25%",Rød blok
Andet,25853,16932,20269,3230,2354,208599,14974,223573,595,4549,44,2,1886,101,507,177,412,254,467,190,210,18,28,10,11,138142,929,148377,1229,115,20210515,55,07,05,7450,0,0,"0,9","4,0",43,"40,69%","44,97%","3,85%","6,00%","2,14%","2,36%",Andet
Danmarksdemokraterne,103439,60075,71603,26889,4947,0,0,0,36334,5742,0,0,3998,172,1660,260,4845,593,7,6,0,0,0,1,0,173794,640,190264,740,2,20210515,14777,3841,707,0,0,01,"692,1","571,1",10229,"85,71%","0,00%","0,00%","0,00%","14,29%","0,00%",Blå blok
Dansk Folkeparti,560918,312428,388141,125889,46888,684246,258384,942630,17664,3624,72,11,10231,1659,12100,3793,45123,2807,1270,661,427,67,44,66,5,688740,1757,695308,2101,154,20210515,442,99,37,15551,0,01,"35,5","8,1",306,"52,05%","33,62%","5,28%","3,46%","5,20%","0,39%",Blå blok
Enhedslisten,419390,169403,249766,154640,14984,91761,51898,143659,11543,2828,159,23,20195,752,8244,5282,42503,3387,1502,831,480,54,65,62,10,471241,5467,484825,6400,163,20210515,279,103,10,1412,0,01,"28,3","13,5",166,"55,33%","31,96%","3,60%","4,33%","4,13%","0,67%",Rød blok
Frie Grønne,58923,25810,35154,21352,2417,129260,65640,194900,10870,0,21,3,3003,189,3628,330,1980,214,79,32,23,0,15,9,0,18018,3888,20119,4401,4,20210515,746,270,31,8617,0,03,"25,1","38,0",445,"40,51%","29,11%","0,00%","18,99%","11,39%","0,00%",Rød blok
Konservative,335237,203528,245059,59154,31024,153031,35536,188567,2884,294,106,8,10030,882,2708,9775,4472,13664,1618,1101,317,51,87,41,21,515447,7684,564021,9149,479,20210515,207,37,19,1759,0,01,"2,8","6,2",151,"68,05%","19,59%","3,15%","5,38%","2,53%","1,30%",Blå blok
Kristendemokraterne,20493,12914,14707,4104,1682,94970,73501,168471,41638,2831,21,1,952,57,259,143,267,115,225,55,68,7,27,68,0,64355,-208,66572,-291,27,20210515,91,18,07,3517,0,0,"1,2","4,2",65,"24,44%","30,22%","3,11%","12,00%","30,22%","0,00%",Blå blok
Liberal Alliance,111675,81799,92495,14135,5045,516348,86500,602848,3577,0,27,3,2327,305,7197,276,470,121,454,233,109,45,22,35,10,302019,745,328247,874,184,20210515,246,31,11,23470,0,0,"1,0","5,1",204,"51,32%","24,01%","9,91%","4,85%","7,71%","2,20%",Blå blok
Løsgænger,101,83,87,10,4,0,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,0,0,0,22769,18,22792,20,2,20210515,51,05,02,0,0,0,"0,0","2,0",44,"100,00%","0,00%","0,00%","0,00%","0,00%","0,00%",Andet
